"filename", "language", "JavaScript", "JSON", "HTML", "Markdown", "XML", "comment", "blank", "total"
"c:\Users\zd\Desktop\Projects\SP POTOLOK\frontend\.eslintrc.cjs", "JavaScript", -21, 0, 0, 0, 0, 0, -1, -22
"c:\Users\zd\Desktop\Projects\SP POTOLOK\frontend\README.md", "Markdown", 0, 0, 0, -5, 0, 0, -4, -9
"c:\Users\zd\Desktop\Projects\SP POTOLOK\frontend\index.html", "HTML", 0, 0, -13, 0, 0, 0, -1, -14
"c:\Users\zd\Desktop\Projects\SP POTOLOK\frontend\package-lock.json", "JSON", 0, -5945, 0, 0, 0, 0, -1, -5946
"c:\Users\zd\Desktop\Projects\SP POTOLOK\frontend\package.json", "JSON", 0, -36, 0, 0, 0, 0, -1, -37
"c:\Users\zd\Desktop\Projects\SP POTOLOK\frontend\postcss.config.js", "JavaScript", -6, 0, 0, 0, 0, 0, -1, -7
"c:\Users\zd\Desktop\Projects\SP POTOLOK\frontend\public\assets\Footer-logo.svg", "XML", 0, 0, 0, 0, -74, 0, -1, -75
"c:\Users\zd\Desktop\Projects\SP POTOLOK\frontend\public\assets\Logo.svg", "XML", 0, 0, 0, 0, -18, 0, -1, -19
"c:\Users\zd\Desktop\Projects\SP POTOLOK\frontend\public\assets\Magnifier.svg", "XML", 0, 0, 0, 0, -3, 0, -1, -4
"c:\Users\zd\Desktop\Projects\SP POTOLOK\frontend\public\assets\Telegram.svg", "XML", 0, 0, 0, 0, -3, 0, -1, -4
"c:\Users\zd\Desktop\Projects\SP POTOLOK\frontend\public\assets\VK.svg", "XML", 0, 0, 0, 0, -3, 0, -1, -4
"c:\Users\zd\Desktop\Projects\SP POTOLOK\frontend\public\assets\WhatsApp.svg", "XML", 0, 0, 0, 0, -11, 0, -1, -12
"c:\Users\zd\Desktop\Projects\SP POTOLOK\frontend\public\assets\react.svg", "XML", 0, 0, 0, 0, -1, 0, 0, -1
"c:\Users\zd\Desktop\Projects\SP POTOLOK\frontend\public\assets\tg.svg", "XML", 0, 0, 0, 0, -3, 0, -1, -4
"c:\Users\zd\Desktop\Projects\SP POTOLOK\frontend\public\vite.svg", "XML", 0, 0, 0, 0, -1, 0, 0, -1
"c:\Users\zd\Desktop\Projects\SP POTOLOK\frontend\tailwind.config.js", "JavaScript", -28, 0, 0, 0, 0, -1, -2, -31
"c:\Users\zd\Desktop\Projects\SP POTOLOK\frontend\vite.config.js", "JavaScript", -5, 0, 0, 0, 0, -1, -2, -8
"Total", "-", -60, -5981, -13, -5, -117, -2, -20, -6198
