"filename", "language", "JavaScript JSX", "JSON", "CSS", "comment", "blank", "total"
"c:\Users\zd\Desktop\Projects\SP POTOLOK\frontend\src\App.css", "CSS", 0, 0, 37, 0, 8, 45
"c:\Users\zd\Desktop\Projects\SP POTOLOK\frontend\src\App.jsx", "JavaScript JSX", 25, 0, 0, 0, 3, 28
"c:\Users\zd\Desktop\Projects\SP POTOLOK\frontend\src\Data\Cart.json", "JSON", 0, 4, 0, 0, 1, 5
"c:\Users\zd\Desktop\Projects\SP POTOLOK\frontend\src\Data\Types.json", "JSON", 0, 54, 0, 0, 0, 54
"c:\Users\zd\Desktop\Projects\SP POTOLOK\frontend\src\Data\customization.json", "JSON", 0, 6615, 0, 0, 0, 6615
"c:\Users\zd\Desktop\Projects\SP POTOLOK\frontend\src\Pages\About\About.jsx", "JavaScript JSX", 30, 0, 0, 0, 2, 32
"c:\Users\zd\Desktop\Projects\SP POTOLOK\frontend\src\Pages\Cart\Cart.jsx", "JavaScript JSX", 7, 0, 0, 0, 2, 9
"c:\Users\zd\Desktop\Projects\SP POTOLOK\frontend\src\Pages\Catalog\Catalog.jsx", "JavaScript JSX", 12, 0, 0, 0, 2, 14
"c:\Users\zd\Desktop\Projects\SP POTOLOK\frontend\src\Pages\Contacts\Contacts.jsx", "JavaScript JSX", 43, 0, 0, 0, 3, 46
"c:\Users\zd\Desktop\Projects\SP POTOLOK\frontend\src\Pages\Home\Home.jsx", "JavaScript JSX", 28, 0, 0, 0, 2, 30
"c:\Users\zd\Desktop\Projects\SP POTOLOK\frontend\src\Pages\Home\data\carouselData.json", "JSON", 0, 16, 0, 0, 1, 17
"c:\Users\zd\Desktop\Projects\SP POTOLOK\frontend\src\components\Calculator\Calculator.jsx", "JavaScript JSX", 51, 0, 0, 0, 7, 58
"c:\Users\zd\Desktop\Projects\SP POTOLOK\frontend\src\components\Carousel\Carousel.css", "CSS", 0, 0, 53, 0, 10, 63
"c:\Users\zd\Desktop\Projects\SP POTOLOK\frontend\src\components\Carousel\Carousel.jsx", "JavaScript JSX", 52, 0, 0, 1, 6, 59
"c:\Users\zd\Desktop\Projects\SP POTOLOK\frontend\src\components\Cart\Order\Order.json", "JSON", 0, 2, 0, 0, 1, 3
"c:\Users\zd\Desktop\Projects\SP POTOLOK\frontend\src\components\Footer\Footer.jsx", "JavaScript JSX", 96, 0, 0, 0, 4, 100
"c:\Users\zd\Desktop\Projects\SP POTOLOK\frontend\src\components\NavBar\NavBar.jsx", "JavaScript JSX", 168, 0, 0, 12, 23, 203
"c:\Users\zd\Desktop\Projects\SP POTOLOK\frontend\src\components\Products\Popular.jsx", "JavaScript JSX", 39, 0, 0, 0, 10, 49
"c:\Users\zd\Desktop\Projects\SP POTOLOK\frontend\src\components\Products\Products.jsx", "JavaScript JSX", 69, 0, 0, 5, 12, 86
"c:\Users\zd\Desktop\Projects\SP POTOLOK\frontend\src\components\Products\Types.json", "JSON", 0, 54, 0, 0, 0, 54
"c:\Users\zd\Desktop\Projects\SP POTOLOK\frontend\src\components\Products\Types.jsx", "JavaScript JSX", 86, 0, 0, 0, 3, 89
"c:\Users\zd\Desktop\Projects\SP POTOLOK\frontend\src\index.css", "CSS", 0, 0, 12, 0, 4, 16
"c:\Users\zd\Desktop\Projects\SP POTOLOK\frontend\src\main.jsx", "JavaScript JSX", 12, 0, 0, 0, 2, 14
"Total", "-", 718, 6745, 102, 18, 106, 7689
